epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1911.41,3.05888,4.17952,2.95843,0.00148,0.2527,0.00299,0.00092,2.86602,4.63203,2.81995,0.000995595,0.000995595,0.0678091
2,3486.99,2.45933,3.6287,2.46829,0.76169,0.01955,0.02483,0.01041,2.44158,5.25723,2.52572,0.00199526,0.00199526,0.0354754
3,5015.94,2.23967,3.34553,2.30988,0.83956,0.05593,0.05006,0.01876,2.1948,3.89455,2.39731,0.00299356,0.00299356,0.00314041
4,6543.05,2.15088,3.17772,2.2256,0.52296,0.11551,0.05483,0.02538,2.08801,3.70863,2.32092,0.00299542,0.00299542,0.00299542
5,8073.89,2.06738,3.04093,2.17359,0.67171,0.0869,0.06997,0.03205,2.11845,4.40703,2.36308,0.00299187,0.00299187,0.00299187
6,9617.61,2.00262,2.93166,2.12995,0.63792,0.13652,0.10329,0.04741,1.95114,3.15386,2.23956,0.0029873,0.0029873,0.0029873
7,11152.5,1.93508,2.84263,2.07553,0.60894,0.1292,0.10407,0.05081,1.88035,3.06095,2.16082,0.00298172,0.00298172,0.00298172
8,12693.7,1.91569,2.76739,2.0488,0.47398,0.14155,0.12035,0.05917,1.90919,3.33219,2.18388,0.00297513,0.00297513,0.00297513
9,14209.4,1.87425,2.69894,2.01763,0.66096,0.11549,0.11532,0.0596,1.79679,2.85216,2.08151,0.00296755,0.00296755,0.00296755
10,15776.9,1.84319,2.60573,1.98579,0.53892,0.19183,0.13295,0.06482,1.86623,2.97648,2.11963,0.00295897,0.00295897,0.00295897
11,17360,1.81084,2.61295,1.97564,0.53599,0.13618,0.10882,0.05611,1.79924,2.95967,2.06537,0.0029494,0.0029494,0.0029494
12,18951,1.81246,2.57591,1.96005,0.54365,0.19397,0.15395,0.08047,1.81141,2.66684,2.11242,0.00293885,0.00293885,0.00293885
13,20504.9,1.78094,2.49251,1.93651,0.73775,0.14818,0.16671,0.09005,1.73924,2.62916,2.05393,0.00292732,0.00292732,0.00292732
14,22093.3,1.75452,2.46944,1.91623,0.58054,0.21474,0.18183,0.10077,1.72117,2.50716,2.00712,0.00291482,0.00291482,0.00291482
15,23684.6,1.75984,2.45277,1.90981,0.64322,0.19018,0.16942,0.09251,1.71991,2.79683,2.02781,0.00290137,0.00290137,0.00290137
16,25238.1,1.73538,2.39681,1.88102,0.5689,0.17103,0.16292,0.08829,1.68096,2.63822,1.96389,0.00288696,0.00288696,0.00288696
17,26782,1.72314,2.36418,1.87109,0.55166,0.18983,0.18018,0.10036,1.70236,2.50554,1.97408,0.00287162,0.00287162,0.00287162
18,28337.7,1.71405,2.3495,1.88493,0.64654,0.18165,0.18379,0.10399,1.66658,2.54151,1.97773,0.00285534,0.00285534,0.00285534
19,29897.7,1.69313,2.3094,1.85635,0.64303,0.17177,0.18478,0.10541,1.70032,2.68728,1.95796,0.00283814,0.00283814,0.00283814
20,31456.5,1.69566,2.29325,1.85366,0.68967,0.16187,0.18582,0.10723,1.68492,2.55704,1.91778,0.00282004,0.00282004,0.00282004
21,33027.2,1.67797,2.2803,1.83918,0.53082,0.20032,0.19003,0.1082,1.66176,2.50957,1.92602,0.00280105,0.00280105,0.00280105
22,34595.9,1.6789,2.21531,1.82858,0.66659,0.19535,0.21895,0.12921,1.63911,2.33538,1.93032,0.00278117,0.00278117,0.00278117
23,36181.2,1.64946,2.20618,1.81615,0.43668,0.21073,0.19692,0.11615,1.62961,2.3592,1.89436,0.00276043,0.00276043,0.00276043
24,37748.6,1.65206,2.16673,1.81081,0.55206,0.21401,0.21567,0.12357,1.62549,2.28775,1.91711,0.00273883,0.00273883,0.00273883
25,39338.2,1.63961,2.15246,1.79895,0.77694,0.16041,0.20411,0.12178,1.6049,2.46078,1.89019,0.00271639,0.00271639,0.00271639
26,40912.2,1.63201,2.14871,1.79937,0.64664,0.21351,0.23495,0.13508,1.59585,2.31644,1.88598,0.00269313,0.00269313,0.00269313
27,42476.5,1.6182,2.14912,1.79686,0.50434,0.22602,0.21657,0.12275,1.66509,2.31185,1.95495,0.00266906,0.00266906,0.00266906
28,3161.82,1.61137,2.13323,1.78639,0.56116,0.25905,0.25916,0.14953,1.60452,2.18494,1.89342,0.0026442,0.0026442,0.0026442
29,4632.72,1.60344,2.06233,1.77893,0.50784,0.26271,0.2482,0.13897,1.5921,2.23374,1.89012,0.00261857,0.00261857,0.00261857
